PhraseID,old_file,new_file,status
3122,2967_cxu_la_kalkulo_inkluzivas_la_servan_pagon.wav,2967_cxu_la_kalkulo_inkluzivas_la_servokotizon.wav,moved_to:2967_cxu_la_kalkulo_inkluzivas_la_servan_pagon.wav
3162,3007_gxi_ne_estas_suficxe_bakita.wav,3007_gxi_ne_estas_suficxe_kuirita.wav,moved_to:3007_gxi_ne_estas_suficxe_bakita.wav
3218,3063_mi_sxatas_sirlojnan_bifstekon.wav,3063_mi_sxatas_bifstekon_el_bova_lumbajxo.wav,moved_to:3063_mi_sxatas_sirlojnan_bifstekon.wav
3227,3072_mi_prenos_la_rostbifon.wav,3072_mi_prenos_la_rostbefon.wav,moved_to:3072_mi_prenos_la_rostbifon.wav
3270,3115_sxi_ne_sxatas_limon.wav,3115_sxi_ne_sxatas_limeojn.wav,moved_to:3115_sxi_ne_sxatas_limon.wav
3282,3127_ni_prenos_du_kranberajn_mufinojn.wav,3127_ni_prenos_du_oksikokajn_mufinojn.wav,moved_to:3127_ni_prenos_du_kranberajn_mufinojn.wav
3283,3128_sxi_prenos_grapfruktan_kukon_kun_glaciajxo.wav,3128_sxi_prenos_grapfruktan_torton_kun_glaciajxo.wav,moved_to:3128_sxi_prenos_grapfruktan_kukon_kun_glaciajxo.wav
3310,3155_ne_uzu_tro_multe_da_cxilio.wav,3155_ne_uzu_tro_multe_da_akra_kapsiko.wav,moved_to:3155_ne_uzu_tro_multe_da_cxilio.wav
3313,3158_mi_sxatus_la_panitan_zukinon.wav,3158_mi_sxatus_la_panumitan_kukurbeton.wav,moved_to:3158_mi_sxatus_la_panitan_zukinon.wav
3318,3163_li_prenos_la_brasitajn_karotojn_kaj_kikerojn.wav,3163_li_prenos_la_brezitajn_karotojn_kaj_kikerojn.wav,moved_to:3163_li_prenos_la_brasitajn_karotojn_kaj_kikerojn.wav
3350,3195_mi_volas_iom_da_bekono.wav,3195_mi_volas_iom_da_lardo.wav,moved_to:3195_mi_volas_iom_da_bekono.wav
3359,3204_mi_sxatas_sorbeton.wav,3204_mi_sxatas_sxorbeton.wav,moved_to:3204_mi_sxatas_sorbeton.wav
3362,3207_sxi_sxatas_ringokukojn.wav,3207_sxi_sxatas_benjetojn.wav,moved_to:3207_sxi_sxatas_ringokukojn.wav
3367,3212_mi_sxatus_la_rizopudinon.wav,3212_mi_sxatus_la_rizan_pudingon.wav,moved_to:3212_mi_sxatus_la_rizopudinon.wav
3368,3213_mi_sxatus_pankukojn_kun_acera_siropo.wav,3213_mi_sxatus_patkukojn_kun_acera_siropo.wav,moved_to:3213_mi_sxatus_pankukojn_kun_acera_siropo.wav
3370,3215_cxu_vi_mangxas_kruasanojn_cxiutage.wav,3215_cxu_vi_mangxas_kornajn_bulkojn_cxiutage.wav,moved_to:3215_cxu_vi_mangxas_kruasanojn_cxiutage.wav
3401,3246_cxu_estas_universala_magazeno_proksime.wav,3246_cxu_estas_magazeno_proksime.wav,moved_to:3246_cxu_estas_universala_magazeno_proksime.wav
3408,3253_butikosxtelistoj_estos_procesitaj.wav,3253_butikosxtelistoj_estos_jugxe_persekutataj.wav,moved_to:3253_butikosxtelistoj_estos_procesitaj.wav
3449,3294_kiugrandaj_estas_cxi_tiuj_sxortoj.wav,3294_kian_grandecon_havas_cxi_tiu_sxorto.wav,moved_to:3294_kiugrandaj_estas_cxi_tiuj_sxortoj.wav
3456,3301_mi_sercxas_ion_begxan.wav,3301_mi_sercxas_ion_sablokoloran.wav,moved_to:3301_mi_sercxas_ion_begxan.wav
3466,3311_cxu_vi_havas_jakon_konvenan_al_cxi_tiuj_pantalonoj.wav,3311_cxu_vi_havas_jakon_konvenan_al_cxi_tiu_pantalono.wav,moved_to:3311_cxu_vi_havas_jakon_konvenan_al_cxi_tiuj_pantalonoj.wav
3472,3317_bonvolu_flankmeti_cxi_tion_por_mi.wav,3317_bonvolu_meti_cxi_tion_flanken_por_mi.wav,moved_to:3317_bonvolu_flankmeti_cxi_tion_por_mi.wav
3484,3329_mi_sxatus_paron_da_fingrosandaloj.wav,3329_mi_sxatus_paron_da_zorioj.wav,moved_to:3329_mi_sxatus_paron_da_fingrosandaloj.wav
3485,3330_bonvolu_montri_al_mi_tiun_paron_da_pantofoj.wav,3330_bonvolu_montri_al_mi_tiun_paron_da_pantofloj.wav,moved_to:3330_bonvolu_montri_al_mi_tiun_paron_da_pantofoj.wav
3494,3339_ili_sidas_sur_mi_kiel_ganto.wav,3339_ili_perfekte_sidas_al_mi.wav,moved_to:3339_ili_sidas_sur_mi_kiel_ganto.wav
3498,3343_mi_sercxas_skarfon.wav,3343_mi_sercxas_koltukon.wav,moved_to:3343_mi_sercxas_skarfon.wav
3502,3347_cxi_tiuj_gantoj_estas_tro_stretaj.wav,3347_cxi_tiuj_gantoj_estas_tro_malvastaj.wav,moved_to:3347_cxi_tiuj_gantoj_estas_tro_stretaj.wav
3534,3379_mi_sxatus_tubon_de_dentopasto.wav,3379_mi_sxatus_tubon_da_dentopasto.wav,moved_to:3379_mi_sxatus_tubon_de_dentopasto.wav
3629,3474_mi_sxatus_acxeti_suveniron_de_la_urbo.wav,3474_mi_sxatus_acxeti_memorajxon_de_la_urbo.wav,moved_to:3474_mi_sxatus_acxeti_suveniron_de_la_urbo.wav
3664,3509_mi_sxatus_tiun_pecon_de_fromagxo.wav,3509_mi_sxatus_tiun_pecon_da_fromagxo.wav,moved_to:3509_mi_sxatus_tiun_pecon_de_fromagxo.wav
3672,3517_kiujn_markojn_vi_havas_kun_filtroj.wav,3517_kiujn_markojn_vi_havas_kun_filtriloj.wav,moved_to:3517_kiujn_markojn_vi_havas_kun_filtroj.wav
3675,3520_mi_sxatus_bageton.wav,3520_mi_sxatus_bastonpanon.wav,moved_to:3520_mi_sxatus_bageton.wav
3715,3560_mi_sxatus_vidi_kelkajn_librojn_pri_poezio.wav,3560_mi_sxatus_vidi_kelkajn_poemarojn.wav,moved_to:3560_mi_sxatus_vidi_kelkajn_librojn_pri_poezio.wav
3719,3564_mi_sxatus_bukedon_de_rugxaj_rozoj.wav,3564_mi_sxatus_bukedon_da_rugxaj_rozoj.wav,moved_to:3564_mi_sxatus_bukedon_de_rugxaj_rozoj.wav
3726,3571_mi_bezonas_makedonan_ukrainan_vortaron.wav,3571_mi_bezonas_makedona_ukrainan_vortaron.wav,moved_to:3571_mi_bezonas_makedonan_ukrainan_vortaron.wav
3737,3582_cxu_vi_povus_montri_al_mi_antikvaran_librovendejon.wav,3582_cxu_vi_povus_diri_al_mi_kie_estas_brokanta_librovendejo.wav,moved_to:3582_cxu_vi_povus_montri_al_mi_antikvaran_librovendejon.wav
3751,3596_pardonu_ni_akceptas_nur_kontanton.wav,3596_pardonu_ni_akceptas_nur_kontantan_monon.wav,moved_to:3596_pardonu_ni_akceptas_nur_kontanton.wav
3868,3713_mi_sxatus_preni_teatran_lorneton.wav,3713_mi_sxatus_preni_teatran_binoklon.wav,moved_to:3713_mi_sxatus_preni_teatran_lorneton.wav
3936,3781_unu_plenkreskulan_kaj_du_infanajn_mi_petas.wav,3781_unu_plenkreskulan_bileton_kaj_du_infanajn_biletojn_mi_petas.wav,moved_to:3781_unu_plenkreskulan_kaj_du_infanajn_mi_petas.wav
3990,3835_kie_mi_povas_lui_surftabulon.wav,3835_kie_mi_povas_lui_surfotabulon.wav,moved_to:3835_kie_mi_povas_lui_surftabulon.wav
3999,3844_kiom_kostas_lui_akvokostumon_por_unu_tago.wav,3844_kiom_kostas_lui_malsekkostumon_por_unu_tago.wav,moved_to:3844_kiom_kostas_lui_akvokostumon_por_unu_tago.wav
4014,3859_estis_remizo.wav,3859_estis_remiso.wav,moved_to:3859_estis_remizo.wav
4022,3867_kiu_estas_la_arbitro.wav,3867_kiu_estas_la_arbitracianto.wav,moved_to:3867_kiu_estas_la_arbitro.wav
4032,3877_kie_estas_la_teniskorto.wav,3877_kie_estas_la_tenisejo.wav,moved_to:3877_kie_estas_la_teniskorto.wav
4056,3901_kiel_vi_pensas_kia_estos_la_fina_rezulto.wav,3901_kia_laux_vi_estos_la_fina_rezulto.wav,moved_to:3901_kiel_vi_pensas_kia_estos_la_fina_rezulto.wav
4059,3904_kiom_kostas_lui_la_korton.wav,3904_kiom_kostas_lui_la_tenisejon.wav,moved_to:3904_kiom_kostas_lui_la_korton.wav
4065,3910_kiaj_estas_la_vetproporcioj_por_la_favorato.wav,3910_kiaj_estas_la_vetsxancoj_de_la_favorato.wav,moved_to:3910_kiaj_estas_la_vetproporcioj_por_la_favorato.wav
4068,3913_kiu_estas_la_minimuma_veto_kiun_mi_povas_fari.wav,3913_kiom_estas_la_minimuma_veto_kiun_mi_povas_fari.wav,moved_to:3913_kiu_estas_la_minimuma_veto_kiun_mi_povas_fari.wav
4071,3916_kio_estas_la_paro_por_cxi_tiu_truo.wav,3916_kio_estas_la_norma_nombro_da_batoj_por_cxi_tiu_truo.wav,moved_to:3916_kio_estas_la_paro_por_cxi_tiu_truo.wav
4073,3918_kiom_da_boatoj_partoprenas_en_cxi_tiu_regato.wav,3918_kiom_da_boatoj_partoprenas_en_cxi_tiu_regatto.wav,moved_to:3918_kiom_da_boatoj_partoprenas_en_cxi_tiu_regato.wav
