row	esperanto	flags	Japanese_Trans
358	ebena	ja_contains_arrow_tilde	{Ｂ}平らな, 平坦な, >>〜; なめらかな, >>〜
360	eduki	ja_contains_arrow_tilde	{Ｂ}［他］（人を）教育する, しつける, >>〜, >>prizorgi; （動物を）飼いならす, >>〜; （植物を）育てる, 栽培する, =kultivi
362	efektiva	ja_contains_arrow_tilde	{Ｂ}実際の, 現実の, >>〜, >>fakta; 事実上の
363	efiki	ja_contains_arrow_tilde	{Ｂ}［自］効果をあげる, 効能がある, 効力がある, >>〜; 【理】【化】作用する
365	ek-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（開始・瞬間を示す）, >>〜bruli, >>〜krii
368	ekonomio	ja_contains_eq_tilde	{Ｂ}経済; 節約, =ŝparado; =〜ko
370	eks-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（前・先・元を示す）, >>〜edzo, >>〜ministro
377	ekspozicio	ja_contains_eq_tilde	{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =〜aĵo; =〜ejo
389	elekti	ja_contains_arrow_tilde	{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>〜
397	enigmo	ja_contains_arrow_tilde	{Ｂ}謎（なぞ）; 《転》不可解なもの, >>〜
401	epoko	ja_contains_arrow_tilde	{Ｂ}時代; 【地質】世, >>〜（紀）, >>erao（代）, >>〜（期）
405	esperi	ja_contains_arrow_tilde	{Ｂ}［自・他］希望する, 期待する, >>〜, >>〜
410	estimi	ja_contains_arrow_tilde	{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>〜, >>〜
434	familiara	ja_contains_arrow_tilde	{Ｂ}親しい, 慣れ親しんだ, 心安い, くだけた, 平俗な, >>〜, >>senceremonia
457	fervora	ja_contains_arrow_tilde	{Ｂ}熱心な, 熱烈な, 熱情にあふれた, >>〜, >>entuziasma
475	flago	ja_contains_arrow_tilde	{Ｂ}旗, >>〜
488	flustri	ja_contains_arrow_tilde	{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>〜, >>murmureti
504	fosto	ja_contains_arrow_tilde	{Ｂ}【建】柱; くい, 標柱, 電柱, >>〜, >>〜
509	frato	ja_contains_eq_tilde	{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =〜ulo
522	frukto	ja_contains_arrow_tilde	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果
535	gajni	ja_contains_arrow_tilde	{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>〜
539	gaso	ja_contains_arrow_tilde	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス
542	ge-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（男女を併称する）, >>〜patroj, >>〜knaboj
545	gento	ja_contains_arrow_tilde	{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>〜, >>〜, >>〜
556	golfo	ja_contains_eq_tilde|ja_contains_arrow_tilde	{Ｂ}【地理】湾 / 【運】ゴルフ, =〜ludo, >>klabo, >>〜
566	grati	ja_contains_arrow_tilde	{Ｂ}［他］ひっかく, かき削る; かく, >>〜
577	gumo	ja_contains_eq_tilde	{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =〜; 消しゴム, =frot〜
590	hejmo	ja_contains_eq_tilde	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko
592	hela	ja_contains_arrow_tilde	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ
611	honti	placeholder_slash_placeholder	{Ｂ}［自］恥じる; 恥ずかしがる（〜/〜を）
621	humoro	ja_contains_eq_tilde	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモア=〜とは別語）
632	ignori	ja_contains_arrow_tilde	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>〜
639	importi	ja_contains_arrow_tilde	{Ｂ}［他］輸入する, >>〜
661	insisti	ja_contains_arrow_tilde	{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>〜
677	intesto	placeholder_space_placeholder|ja_contains_arrow_tilde	{Ｂ}【解】腸; >>〜 〜, >>maldika 〜
697	ju	placeholder_space_placeholder|ja_contains_arrow_tilde	{Ｂ}［副］（〜 〜）～すればするほど, >>〜
739	karno	ja_contains_arrow_tilde	{Ｂ}肉, 肉体, >>〜; 【植】果肉
751	kavo	ja_contains_arrow_tilde	{Ｂ}穴, 空洞, くぼみ, へこみ; 【解】腔（こう）, 窩（か）; 【理】（波の）谷, >>〜
758	kaŭĉuko	ja_contains_arrow_tilde	{Ｂ}【化】弾性ゴム, ゴム, >>〜
764	kerno	ja_contains_eq_tilde	{Ｂ}核, 種（たね）, 芯（しん）; 《転》核心; 【理】核, =〜
772	kino	ja_contains_arrow_tilde	{Ｂ}映画, 映画制作, >>〜
793	koleri	placeholder_slash_placeholder	{Ｂ}［自］怒る, 腹を立てる（〜/〜）; ［他］まれ
797	kolono	ja_contains_eq_tilde	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=〜（欄）; 【軍】縦隊
799	kolumno	ja_contains_eq_tilde	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =〜; 【数】（数の）桁（けた）
827	konduki	ja_contains_eq_tilde	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti
833	konfirmi	ja_contains_eq_tilde	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =〜acii
842	konscii	placeholder_slash_placeholder	{Ｂ}［自］意識している, 自覚している（〜/〜で補語を取る）
851	konstati	ja_contains_arrow_tilde	{Ｂ}［他］（調べて）確認する, 確かめる, 確証する, >>〜
859	kontroli	ja_contains_arrow_tilde	{Ｂ}［他］検査する, 点検する, 照合する, チェックする, 調べる, >>〜
872	korvo	ja_contains_arrow_tilde	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>〜, >>monedo
873	kosmo	ja_contains_arrow_tilde	{Ｂ}【天】宇宙, >>〜; 《転》完全体系, ><kaoso
877	kotono	ja_contains_arrow_tilde	{Ｂ}綿（めん）, 綿花; 木綿, >>〜
907	kruro	ja_contains_arrow_tilde	{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>〜; 《転》脚部
923	kuniklo	ja_contains_arrow_tilde	{Ｂ}【動】カイウサギ, イエウサギ（家兎）, >>〜
946	kvieta	ja_contains_arrow_tilde	{Ｂ}静かな, おだやかな, おとなしい, >>〜
975	leporo	ja_contains_arrow_tilde	{Ｂ}【動】ノウサギ; （一般に）ウサギ（兎）, >>〜
1013	luno	ja_contains_arrow_tilde	{Ｂ}【天】月; 衛星, >>〜
1048	mato	ja_contains_arrow_tilde	{Ｂ}マット, むしろ, ござ, 敷物, >>〜, >>tatamo / 【遊】（チェス・将棋の）詰み, チェックメイト
1065	menso	ja_contains_arrow_tilde	{Ｂ}精神, 心, 知力, >>〜, >>〜, >>〜, >>psiko
1087	militi	ja_contains_arrow_tilde	{Ｂ}［自］戦争する, 戦う, >>〜
1091	ministerio	ja_contains_arrow_tilde	{Ｂ}（政府の）省, >>〜
1097	mis-	ja_contains_arrow_tilde	{Ｂ}［接頭辞］（誤り・失敗を示す）, >>〜aŭdi
1116	moralo	ja_contains_arrow_tilde	{Ｂ}道徳, 道義, 倫理, モラル; 道徳論, >>〜
1119	moro	ja_contains_arrow_tilde	{Ｂ}風俗, 慣習, 風習, 習わし, >>〜
1131	muso	ja_contains_arrow_tilde	{Ｂ}【動】ハツカネズミ（二十日鼠）（属）; 《般》（比較的小型の）ネズミ, >>〜; 【情】マウス
1136	nacio	placeholder_slash_placeholder|ja_contains_eq_tilde	{Ｂ}民族; 国民（全体）; 国民という共同体（統治機構=〜/〜とは別）
